"curve_id","n_det","tau","point_id","fidelity","eta_opt"
4,4,1.,1,0.2750801180891018,0.01
4,4,1.,2,0.28446284199810135,0.02
4,4,1.,3,0.29394414025741916,0.03
4,4,1.,4,0.30351760328677246,0.04
4,4,1.,5,0.3131766797118777,0.05
4,4,1.,6,0.322914683975658,0.060000000000000005
4,4,1.,7,0.332724804070288,0.06999999999999999
4,4,1.,8,0.34260010938163754,0.08
4,4,1.,9,0.35253355863703234,0.09
4,4,1.,10,0.36251800794666145,0.09999999999999999
4,4,1.,11,0.37254621892841755,0.11
4,4,1.,12,0.38261086690547524,0.12
4,4,1.,13,0.39270454916548436,0.13
4,4,1.,14,0.4028197932698826,0.14
4,4,1.,15,0.41294906540151854,0.15000000000000002
4,4,1.,16,0.42308477873851374,0.16
4,4,1.,17,0.43321930184208807,0.17
4,4,1.,18,0.44334496704592785,0.18000000000000002
4,4,1.,19,0.45345407883456346,0.19
4,4,1.,20,0.46353892219819137,0.2
4,4,1.,21,0.47359177095136096,0.21000000000000002
4,4,1.,22,0.48360489600300344,0.22
4,4,1.,23,0.49357057356536166,0.23
4,4,1.,24,0.5034810932895244,0.24000000000000002
4,4,1.,25,0.5133287663154258,0.25
4,4,1.,26,0.523105933224397,0.26
4,4,1.,27,0.5328049718825898,0.27
4,4,1.,28,0.5424183051638747,0.28
4,4,1.,29,0.551938408541125,0.29000000000000004
4,4,1.,30,0.5613578175351294,0.3
4,4,1.,31,0.5706691350107468,0.31
4,4,1.,32,0.5798650383102852,0.32
4,4,1.,33,0.5889382862145108,0.33
4,4,1.,34,0.5978817257221029,0.34
4,4,1.,35,0.6066882986388193,0.35000000000000003
4,4,1.,36,0.6153510479680896,0.36000000000000004
4,4,1.,37,0.6238631240952193,0.37
4,4,1.,38,0.632217790757867,0.38
4,4,1.,39,0.6404084307959457,0.39
4,4,1.,40,0.64842855167458,0.4
4,4,1.,41,0.6562717907742648,0.41000000000000003
4,4,1.,42,0.6639319204428464,0.42000000000000004
4,4,1.,43,0.6714028528044617,0.43
4,4,1.,44,0.6786786443210628,0.44
4,4,1.,45,0.6857535001026338,0.45
4,4,1.,46,0.6926217779627002,0.46
4,4,1.,47,0.6992779922162075,0.47000000000000003
4,4,1.,48,0.7057168172172953,0.48000000000000004
4,4,1.,49,0.7119330906349487,0.49
4,4,1.,50,0.7179218164649321,0.5
4,4,1.,51,0.7236781677768244,0.51
4,4,1.,52,0.7291974891953407,0.52
4,4,1.,53,0.7344752991154939,0.53
4,4,1.,54,0.7395072916514449,0.54
4,4,1.,55,0.7442893383191864,0.55
4,4,1.,56,0.7488174894534131,0.56
4,4,1.,57,0.7530879753591146,0.5700000000000001
4,4,1.,58,0.7570972071985408,0.5800000000000001
4,4,1.,59,0.7608417776142182,0.59
4,4,1.,60,0.764318461088667,0.6
4,4,1.,61,0.7675242140413144,0.61
4,4,1.,62,0.7704561746628713,0.62
4,4,1.,63,0.773111662487057,0.63
4,4,1.,64,0.7754881776990445,0.64
4,4,1.,65,0.7775834001793355,0.65
4,4,1.,66,0.779395188280888,0.66
4,4,1.,67,0.7809215773362593,0.67
4,4,1.,68,0.7821607778901961,0.68
4,4,1.,69,0.7831111736514745,0.6900000000000001
4,4,1.,70,0.7837713191558764,0.7000000000000001
4,4,1.,71,0.7841399371298459,0.7100000000000001
4,4,1.,72,0.7842159155416195,0.72
4,4,1.,73,0.7839983043233424,0.73
4,4,1.,74,0.7834863117438218,0.74
4,4,1.,75,0.7826793004069897,0.75
4,4,1.,76,0.7815767828457776,0.76
4,4,1.,77,0.7801784166747451,0.77
4,4,1.,78,0.7784839992573285,0.78
4,4,1.,79,0.7764934618347593,0.79
4,4,1.,80,0.7742068630532638,0.8
4,4,1.,81,0.7716243818138758,0.81
4,4,1.,82,0.7687463093546394,0.8200000000000001
4,4,1.,83,0.765573040457785,0.8300000000000001
4,4,1.,84,0.7621050636541439,0.8400000000000001
4,4,1.,85,0.7583429502730471,0.85
4,4,1.,86,0.75428734215762,0.86
4,4,1.,87,0.7499389378320456,0.87
4,4,1.,88,0.7452984768682268,0.88
4,4,1.,89,0.7403667221535833,0.89
4,4,1.,90,0.7351444397086304,0.9
4,4,1.,91,0.7296323756418244,0.91
4,4,1.,92,0.723831229759307,0.92
4,4,1.,93,0.7177416252684178,0.93
4,4,1.,94,0.7113640739263423,0.9400000000000001
4,4,1.,95,0.7046989358900394,0.9500000000000001
4,4,1.,96,0.6977463734227095,0.9600000000000001
4,4,1.,97,0.6905062975092108,0.97
4,4,1.,98,0.6829783063339231,0.98
4,4,1.,99,0.6751616144885166,0.99
5,4,0.95,1,0.27484282909435265,0.01
5,4,0.95,2,0.2839766277500355,0.02
5,4,0.95,3,0.29319738320749417,0.03
5,4,0.95,4,0.30249872930583593,0.04
5,4,0.95,5,0.3118741831931002,0.05
5,4,0.95,6,0.32131715329481136,0.060000000000000005
5,4,0.95,7,0.3308209473649669,0.06999999999999999
5,4,0.95,8,0.34037878060912957,0.08
5,4,0.95,9,0.34998378386897194,0.09
5,4,0.95,10,0.35962901185729296,0.09999999999999999
5,4,0.95,11,0.36930745143227456,0.11
5,4,0.95,12,0.3790120298994969,0.12
5,4,0.95,13,0.3887356233300469,0.13
5,4,0.95,14,0.3984710648828894,0.14
5,4,0.95,15,0.40821115311955686,0.15000000000000002
5,4,0.95,16,0.41794866029912414,0.16
5,4,0.95,17,0.42767634064139254,0.17
5,4,0.95,18,0.4373869385461954,0.18000000000000002
5,4,0.95,19,0.4470731967567592,0.19
5,4,0.95,20,0.4567278644551118,0.2
5,4,0.95,21,0.4663437052776164,0.21000000000000002
5,4,0.95,22,0.47591350523883713,0.22
5,4,0.95,23,0.48543008055207504,0.23
5,4,0.95,24,0.49488628533511103,0.24000000000000002
5,4,0.95,25,0.5042750191898768,0.25
5,4,0.95,26,0.5135892346450217,0.26
5,4,0.95,27,0.522821944450578,0.27
5,4,0.95,28,0.5319662287142207,0.28
5,4,0.95,29,0.5410152418688962,0.29000000000000004
5,4,0.95,30,0.5499622194619265,0.3
5,4,0.95,31,0.5588004847560168,0.31
5,4,0.95,32,0.5675234551329422,0.32
5,4,0.95,33,0.5761246482910721,0.33
5,4,0.95,34,0.5845976882282449,0.34
5,4,0.95,35,0.5929363110019129,0.35000000000000003
5,4,0.95,36,0.6011343702588758,0.36000000000000004
5,4,0.95,37,0.6091858425273267,0.37
5,4,0.95,38,0.617084832264359,0.38
5,4,0.95,39,0.6248255766525085,0.39
5,4,0.95,40,0.632402450139332,0.4
5,4,0.95,41,0.6398099687144654,0.41000000000000003
5,4,0.95,42,0.6470427939190398,0.42000000000000004
5,4,0.95,43,0.6540957365827663,0.43
5,4,0.95,44,0.6609637602844536,0.44
5,4,0.95,45,0.667641984532143,0.45
5,4,0.95,46,0.6741256876594931,0.46
5,4,0.95,47,0.6804103094354556,0.47000000000000003
5,4,0.95,48,0.6864914533847176,0.48000000000000004
5,4,0.95,49,0.6923648888167883,0.49
5,4,0.95,50,0.6980265525619974,0.5
5,4,0.95,51,0.7034725504130596,0.51
5,4,0.95,52,0.7086991582712189,0.52
5,4,0.95,53,0.7137028229963134,0.53
5,4,0.95,54,0.7184801629604289,0.54
5,4,0.95,55,0.7230279683050731,0.55
5,4,0.95,56,0.727343200902047,0.56
5,4,0.95,57,0.7314229940183984,0.5700000000000001
5,4,0.95,58,0.7352646516859752,0.5800000000000001
5,4,0.95,59,0.7388656477762016,0.59
5,4,0.95,60,0.7422236247807129,0.6
5,4,0.95,61,0.7453363922984411,0.61
5,4,0.95,62,0.7482019252295936,0.62
5,4,0.95,63,0.7508183616767283,0.63
5,4,0.95,64,0.7531840005527732,0.64
5,4,0.95,65,0.755297298895331,0.65
5,4,0.95,66,0.7571568688859706,0.66
5,4,0.95,67,0.7587614745723826,0.67
5,4,0.95,68,0.7601100282902374,0.68
5,4,0.95,69,0.7612015867803252,0.6900000000000001
5,4,0.95,70,0.7620353469950242,0.7000000000000001
5,4,0.95,71,0.7626106415862927,0.7100000000000001
5,4,0.95,72,0.7629269340651677,0.72
5,4,0.95,73,0.7629838136201285,0.73
5,4,0.95,74,0.7627809895785588,0.74
5,4,0.95,75,0.7623182854918464,0.75
5,4,0.95,76,0.7615956328202962,0.76
